Notice Number,Recipient's Name,Notice Type,Issue Date,Local Authority,Main Activity,Time-st
312380473,Nord Chips Products Ltd,Improvement Notice,25/03/2022,North Tyneside,PAINT/VARNISH/MASTIC/SEALANT,2022-05-05 16:15:24.406381+00:00
312380511,Nord Chips Products Ltd,Improvement Notice,25/03/2022,North Tyneside,PAINT/VARNISH/MASTIC/SEALANT,2022-05-05 16:15:24.406381+00:00
312380743,Wildjacks Property Limited,Improvement Notice,25/03/2022,North Kesteven,CONSTRUCTION DOMESTIC BLDGS,2022-05-05 16:15:24.406381+00:00
312382479,Woodsett Homes Limited,Improvement Notice,25/03/2022,Rotherham,DEVELOPMENT BUILDING PROJECTS,2022-05-05 16:15:24.406381+00:00
312382576,Steel Beams Ltd,Improvement Notice,25/03/2022,Havering,MF METAL (PARTIAL) STRUCTURES,2022-05-05 16:15:24.406381+00:00
312382604,Steel Beams Ltd,Improvement Notice,25/03/2022,Havering,MF METAL (PARTIAL) STRUCTURES,2022-05-05 16:15:24.406381+00:00
312382619,Steel Beams Ltd,Improvement Notice,25/03/2022,Havering,MF METAL (PARTIAL) STRUCTURES,2022-05-05 16:15:24.406381+00:00
312382959,Duncan Telfer,Prohibition Notice Immediate,25/03/2022,West Suffolk,INSTALL PLUMB/HEAT/AIR-CON,2022-05-05 16:15:24.406381+00:00
312383078,Nuts In Bulk Limited,Improvement Notice,25/03/2022,Knowsley,GRAIN/TBACCO/SEEDS/ANIMAL FEED,2022-05-05 16:15:24.406381+00:00
312383207,ADL Joinery Ltd,Prohibition Notice Immediate,25/03/2022,Newark & Sherwood,BUILDERS CARPENTRY/JOINERY NEC,2022-05-05 16:15:24.406381+00:00
312384869,Commodore Kitchens Limited,Improvement Notice,25/03/2022,Thurrock UA,SAWMILLING AND PLANING OF WOOD,,,2022-05-05 16:15:25.242052+00:00
312401906,Gatemasters (Midlands) Ltd,Improvement Notice,25/03/2022,Walsall,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:26.087867+00:00
312401934,Gatemasters (Midlands) Ltd,Improvement Notice,25/03/2022,Walsall,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:26.087867+00:00
312401974,Gatemasters (Midlands) Ltd,Prohibition Notice Immediate,25/03/2022,Walsall,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:26.087867+00:00
312402180,AMF Precision Engineering Limited,Improvement Notice,25/03/2022,Wirral,MACHINING,,,2022-05-05 16:15:26.087867+00:00
312402249,AMF Precision Engineering Limited,Improvement Notice,25/03/2022,Wirral,MACHINING,,,2022-05-05 16:15:26.087867+00:00
312402655,AMF Precision Engineering Limited,Improvement Notice,25/03/2022,Wirral,MACHINING,,,2022-05-05 16:15:26.087867+00:00
312402674,AMF Precision Engineering Limited,Improvement Notice,25/03/2022,Wirral,MACHINING,,,2022-05-05 16:15:26.087867+00:00
312445175,Merrick William Loggin,Prohibition Notice Immediate,25/03/2022,West Northamptonshire,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:26.087867+00:00
312461071,DMR Building Services Limited,Improvement Notice,25/03/2022,Tower Hamlets,OTHER BUILDING COMPLETION,,,2022-05-05 16:15:26.911949+00:00
312376966,John Rowlands,Prohibition Notice Immediate,24/03/2022,Cheshire West and Chester UA,ROOFING ACTIVITIES,,,2022-05-05 16:15:26.911949+00:00
312377017,John Rowlands,Prohibition Notice Immediate,24/03/2022,Cheshire West and Chester UA,ROOFING ACTIVITIES,,,2022-05-05 16:15:26.911949+00:00
312377167,British Cables Company Limited,Improvement Notice,24/03/2022,Manchester,COMMUNICATION EQUIPMENT MF,,,2022-05-05 16:15:26.911949+00:00
312377172,UK Express Valeting Limited,Improvement Notice,24/03/2022,Durham County UA,SERVICES INCIDENTAL2 LAND TSPT,,,2022-05-05 16:15:26.911949+00:00
312377219,British Cables Company Limited,Improvement Notice,24/03/2022,Manchester,COMMUNICATION EQUIPMENT MF,,,2022-05-05 16:15:26.911949+00:00
312377254,UK Express Valeting Limited,Improvement Notice,24/03/2022,Durham County UA,SERVICES INCIDENTAL2 LAND TSPT,,,2022-05-05 16:15:26.911949+00:00
312377355,UK Express Valeting Limited,Prohibition Notice Immediate,24/03/2022,Durham County UA,SERVICES INCIDENTAL2 LAND TSPT,,,2022-05-05 16:15:26.911949+00:00
312377764,Arconia Engineering Limited,Improvement Notice,24/03/2022,North Tyneside,MACHINING,,,2022-05-05 16:15:26.911949+00:00
312377885,Victoria Sheet Metal Limited,Improvement Notice,24/03/2022,Coventry,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:26.911949+00:00
312378819,H. Eccles (Pattern Makers) Limited,Improvement Notice,24/03/2022,Dudley,MANUFACTURE OF TOOLS,,,2022-05-05 16:15:27.777642+00:00
312378871,H. Eccles (Pattern Makers) Limited,Improvement Notice,24/03/2022,Dudley,MANUFACTURE OF TOOLS,,,2022-05-05 16:15:27.777642+00:00
312378883,H. Eccles (Pattern Makers) Limited,Improvement Notice,24/03/2022,Dudley,MANUFACTURE OF TOOLS,,,2022-05-05 16:15:27.777642+00:00
312378921,Clayton Park Bakery Limited,Improvement Notice,24/03/2022,Hyndburn,MF BREAD/FRESH PASTRY/CAKES,,,2022-05-05 16:15:27.777642+00:00
312379014,B Pope & Sons Ltd,Improvement Notice,24/03/2022,North Kesteven,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:27.777642+00:00
312379714,Barrs Court Engineering Limited,Improvement Notice,24/03/2022,Herefordshire UA,MACHINING,,,2022-05-05 16:15:27.777642+00:00
312379755,Barrs Court Engineering Limited,Improvement Notice,24/03/2022,Herefordshire UA,MACHINING,,,2022-05-05 16:15:27.777642+00:00
312379776,Barrs Court Engineering Limited,Improvement Notice,24/03/2022,Herefordshire UA,MACHINING,,,2022-05-05 16:15:27.777642+00:00
312379795,Barrs Court Engineering Limited,Improvement Notice,24/03/2022,Herefordshire UA,MACHINING,,,2022-05-05 16:15:27.777642+00:00
312380471,I M Plastech Limited,Improvement Notice,24/03/2022,Huntingdon,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:27.777642+00:00
312381173,M T Box & Company Limited,Improvement Notice,24/03/2022,Dorset,MF OF WOODEN CONTAINERS,,,2022-05-05 16:15:28.632534+00:00
312383063,Love Campers Ltd,Prohibition Notice Immediate,24/03/2022,Lewes,OTHER MANUFACTURING NEC,,,2022-05-05 16:15:28.632534+00:00
312383086,Chase Metal Company Limited,Improvement Notice,24/03/2022,Wandsworth,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:28.632534+00:00
312383137,Adam Khan,Prohibition Notice Immediate,24/03/2022,Bradford,CONSTRUCTION OF BUILDINGS,,,2022-05-05 16:15:28.632534+00:00
312385370,West Essex Laundry Services Ltd,Improvement Notice,24/03/2022,Redbridge,WASH/(DRY)CLEAN TEXTILE/FUR,,,2022-05-05 16:15:28.632534+00:00
312385499,West Essex Laundry Services Ltd,Improvement Notice,24/03/2022,Redbridge,WASH/(DRY)CLEAN TEXTILE/FUR,,,2022-05-05 16:15:28.632534+00:00
312385520,West Essex Laundry Services Ltd,Improvement Notice,24/03/2022,Redbridge,WASH/(DRY)CLEAN TEXTILE/FUR,,,2022-05-05 16:15:28.632534+00:00
312388056,Alphin Pans Limited,Prohibition Notice Immediate,24/03/2022,Oldham,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:28.632534+00:00
312388175,Alphin Pans Limited,Prohibition Notice Immediate,24/03/2022,Oldham,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:28.632534+00:00
312388196,Alphin Pans Limited,Prohibition Notice Immediate,24/03/2022,Oldham,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:28.632534+00:00
312388202,Mr Rapp Smith,Prohibition Notice Immediate,24/03/2022,Barnsley,SILVICULTURE/FORESTRY ACTIVITY,,,2022-05-05 16:15:29.459385+00:00
312388212,Alphin Pans Limited,Prohibition Notice Immediate,24/03/2022,Oldham,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:29.459385+00:00
312388232,Alphin Pans Limited,Prohibition Notice Immediate,24/03/2022,Oldham,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:29.459385+00:00
312388266,Alphin Pans Limited,Prohibition Notice Immediate,24/03/2022,Oldham,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:29.459385+00:00
312388278,Alphin Pans Limited,Prohibition Notice Immediate,24/03/2022,Oldham,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:29.459385+00:00
312388287,Alphin Pans Limited,Prohibition Notice Immediate,24/03/2022,Oldham,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:29.459385+00:00
312388321,Alphin Pans Limited,Prohibition Notice Immediate,24/03/2022,Oldham,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:29.459385+00:00
312388331,Alphin Pans Limited,Prohibition Notice Immediate,24/03/2022,Oldham,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:29.459385+00:00
312390345,Allstone Sands Gravels Aggregates Trading Co Ltd,Improvement Notice,24/03/2022,Gloucester,SALE TIMBER/BUILDING MATERIALS,,,2022-05-05 16:15:29.459385+00:00
312392443,Well Built Developments Limited,Improvement Notice,24/03/2022,Stockport,CONSTRUCTION COMMERCIAL BLDGS,,,2022-05-05 16:15:29.459385+00:00
312392661,Well Built Developments Limited,Improvement Notice,24/03/2022,Stockport,CONSTRUCTION COMMERCIAL BLDGS,,,2022-05-05 16:15:30.374402+00:00
312393474,MPS Precision Engineering Limited,Improvement Notice,24/03/2022,Tewkesbury,MACHINING,,,2022-05-05 16:15:30.374402+00:00
312393527,MPS Precision Engineering Limited,Improvement Notice,24/03/2022,Tewkesbury,MACHINING,,,2022-05-05 16:15:30.374402+00:00
312394503,Building Solution (Man) LTD,Prohibition Notice Immediate,24/03/2022,Bolton,CONSTRUCTION OF BUILDINGS,,,2022-05-05 16:15:30.374402+00:00
312415776,Claywood Construction Ltd,Improvement Notice,24/03/2022,Ryedale,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:30.374402+00:00
312424660,R G & H Preece,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:30.374402+00:00
312428216,Sheila Lord,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:30.374402+00:00
312428341,Sheila Lord,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:30.374402+00:00
312428710,IR & M Woodhouse,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:30.374402+00:00
312428803,IR & M Woodhouse,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:30.374402+00:00
312428831,IR & M Woodhouse,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:31.211631+00:00
312429622,DL Fullerton Limited,Prohibition Notice Immediate,24/03/2022,Croydon,LET/OPERATION REAL ESTATE NEX,,,2022-05-05 16:15:31.211631+00:00
312430365,Harterbeck Trust,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:31.211631+00:00
312430404,Harterbeck Trust,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:31.211631+00:00
312430420,Harterbeck Trust,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:31.211631+00:00
312430423,Harterbeck Trust,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:31.211631+00:00
312430450,Harterbeck Trust,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:31.211631+00:00
312430462,Harterbeck Trust,Prohibition Notice Immediate,24/03/2022,Lancaster,MIXED FARMING,,,2022-05-05 16:15:31.211631+00:00
312372698,Lincolnshire Meat Company Limited,Improvement Notice,23/03/2022,South Kesteven,PROCESSING/PRESERVING OF MEAT,,,2022-05-05 16:15:31.211631+00:00
312372728,Lincolnshire Meat Company Limited,Improvement Notice,23/03/2022,South Kesteven,PROCESSING/PRESERVING OF MEAT,,,2022-05-05 16:15:31.211631+00:00
312372784,Edwin Lowe Limited,Improvement Notice,23/03/2022,Birmingham,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:32.065936+00:00
312373302,Skilled Manufacturing Limited,Improvement Notice,23/03/2022,Dudley,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:32.065936+00:00
312373527,North Valley Metal Co. (Colne) Limited,Improvement Notice,23/03/2022,Pendle,MF OF OTHER MACHINE TOOLS,,,2022-05-05 16:15:32.065936+00:00
312373625,North Valley Metal Co. (Colne) Limited,Improvement Notice,23/03/2022,Pendle,MF OF OTHER MACHINE TOOLS,,,2022-05-05 16:15:32.065936+00:00
312373733,Campbell & Hall Engineering Limited,Improvement Notice,23/03/2022,Redcar & Cleveland,MACHINING,,,2022-05-05 16:15:32.065936+00:00
312373748,White Dark,Improvement Notice,23/03/2022,Southwark,OPERATION OF ARTS FACILITIES,,,2022-05-05 16:15:32.065936+00:00
312373764,Campbell & Hall Engineering Limited,Improvement Notice,23/03/2022,Redcar & Cleveland,MACHINING,,,2022-05-05 16:15:32.065936+00:00
312373902,Billingham Machine Co Ltd,Improvement Notice,23/03/2022,Redcar & Cleveland,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:32.065936+00:00
312373949,Billingham Machine Co Ltd,Improvement Notice,23/03/2022,Redcar & Cleveland,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:32.065936+00:00
312373966,Billingham Machine Co Ltd,Improvement Notice,23/03/2022,Redcar & Cleveland,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:32.065936+00:00
312374167,Titanium Techniques 2001 Limited,Improvement Notice,23/03/2022,Dudley,MACHINING,,,2022-05-05 16:15:32.905304+00:00
312374539,Douglas Homes (Bristol) Limited,Improvement Notice,23/03/2022,Bristol UA,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:32.905304+00:00
312374567,Douglas Homes (Bristol) Limited,Improvement Notice,23/03/2022,Bristol UA,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:32.905304+00:00
312375037,Forest Press Hydraulics Limited,Improvement Notice,23/03/2022,Forest of Dean,MF OF OTHER MACHINE TOOLS,,,2022-05-05 16:15:32.905304+00:00
312375060,Forest Press Hydraulics Limited,Improvement Notice,23/03/2022,Forest of Dean,MF OF OTHER MACHINE TOOLS,,,2022-05-05 16:15:32.905304+00:00
312375104,Geometric Manufacturing Ltd,Improvement Notice,23/03/2022,Tewkesbury,OTHER MANUFACTURING NEC,,,2022-05-05 16:15:32.905304+00:00
312375715,Architectural Engineering (Aluminium and Steel Gla,Improvement Notice,23/03/2022,West Lancashire,OTHER MANUFACTURING NEC,,,2022-05-05 16:15:32.905304+00:00
312376191,Boxes and Packaging (Oxford) Limited,Improvement Notice,23/03/2022,Buckinghamshire,PACKAGING ACTIVITIES,,,2022-05-05 16:15:32.905304+00:00
312376279,Boxes and Packaging (Oxford) Limited,Improvement Notice,23/03/2022,Buckinghamshire,PACKAGING ACTIVITIES,,,2022-05-05 16:15:32.905304+00:00
312376290,Boxes and Packaging (Oxford) Limited,Improvement Notice,23/03/2022,Buckinghamshire,PACKAGING ACTIVITIES,,,2022-05-05 16:15:32.905304+00:00
312376763,R & G Building Services Limited,Prohibition Notice Immediate,23/03/2022,Kirklees,CONSTRUCTION OF BUILDINGS,,,2022-05-05 16:15:33.772781+00:00
312378714,A L H Systems Limited,Improvement Notice,23/03/2022,Wiltshire UA,MF SPECIAL-PURPOSE M/C NEC,,,2022-05-05 16:15:33.772781+00:00
312379258,AD Tiling Limited,Prohibition Notice Immediate,23/03/2022,Lancaster,SPECIALISED CONST NOT SCAFFOLD,,,2022-05-05 16:15:33.772781+00:00
312380118,Orbital Plant Services,Improvement Notice,23/03/2022,Enfield,CONSTRUCTION OF BUILDINGS,,,2022-05-05 16:15:33.772781+00:00
312380144,Orbital Plant Services,Improvement Notice,23/03/2022,Enfield,CONSTRUCTION OF BUILDINGS,,,2022-05-05 16:15:33.772781+00:00
312380439,Simco (Engineers) Limited,Improvement Notice,23/03/2022,South Tyneside,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:33.772781+00:00
312380457,Simco (Engineers) Limited,Improvement Notice,23/03/2022,South Tyneside,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:33.772781+00:00
312380466,Simco (Engineers) Limited,Improvement Notice,23/03/2022,South Tyneside,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:33.772781+00:00
312383604,Heyes Civil & Construction Ltd,Prohibition Notice Immediate,23/03/2022,Wigan,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:33.772781+00:00
312384696,Thomas Gillon,Improvement Notice,23/03/2022,Cheshire East UA,CONSTRUCTION DOMESTIC BLDGS,,,2022-05-05 16:15:33.772781+00:00
312384888,Deanhouse Interiors Limited,Prohibition Notice Immediate,23/03/2022,Kirklees,JOINERY INSTALLATION,,,2022-05-05 16:15:34.610373+00:00
312385599,Panel N Paint Limited,Improvement Notice,23/03/2022,Folkstone and Hythe,MVR,,,2022-05-05 16:15:34.610373+00:00
312386405,C.B. Homes Limited,Improvement Notice,23/03/2022,Cheshire East UA,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:34.610373+00:00
312386572,Marble & Granite (UK) Services Ltd,Improvement Notice,23/03/2022,Buckinghamshire,CUT/SHAPE/FINISH STONE,,,2022-05-05 16:15:34.610373+00:00
312389039,Bescon Ltd,Improvement Notice,23/03/2022,Broadland,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:34.610373+00:00
312389320,Northern Jack Specialists,Prohibition Notice Immediate,23/03/2022,Hyndburn,MF OF FLUID POWER EQUIPMENT,,,2022-05-05 16:15:34.610373+00:00
312389792,Fortress Security Limited,Prohibition Notice Immediate,23/03/2022,Dudley,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:34.610373+00:00
312389802,Fortress Security Limited,Prohibition Notice Immediate,23/03/2022,Dudley,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:34.610373+00:00
312389810,Fortress Security Limited,Prohibition Notice Immediate,23/03/2022,Dudley,MF METAL (PARTIAL) STRUCTURES,,,2022-05-05 16:15:34.610373+00:00
312389966,Daniel Sheridan,Prohibition Notice Immediate,23/03/2022,Manchester,CONSTRUCTION DOMESTIC BLDGS,,,2022-05-05 16:15:34.610373+00:00
312390209,Daniel Sheridan,Improvement Notice,23/03/2022,Manchester,CONSTRUCTION DOMESTIC BLDGS,,,2022-05-05 16:15:35.461634+00:00
312390610,Silvestre Balint,Prohibition Notice Immediate,23/03/2022,Cherwell,CONSTRUCTION DOMESTIC BLDGS,,,2022-05-05 16:15:35.461634+00:00
312391928,Leeds Construction Services (Developments) Ltd,Prohibition Notice Immediate,23/03/2022,Leeds,CONSTRUCTION DOMESTIC BLDGS,,,2022-05-05 16:15:35.461634+00:00
312392094,Leeds Construction Services (Developments) Ltd,Improvement Notice,23/03/2022,Leeds,CONSTRUCTION DOMESTIC BLDGS,,,2022-05-05 16:15:35.461634+00:00
312392603,Robert Gutteres,Prohibition Notice Immediate,23/03/2022,Rochdale,DEVELOPMENT BUILDING PROJECTS,,,2022-05-05 16:15:35.461634+00:00
312396225,CARROLL CONSTRUCTION MC LTD,Improvement Notice,23/03/2022,Bolton,BUSINESS SUPPORT SERVICE NEC,,,2022-05-05 16:15:35.461634+00:00
312401274,Baird Foods Services Limited,Improvement Notice,23/03/2022,Cheshire East UA,PROCESSING/PRESERVING OF MEAT,,,2022-05-05 16:15:35.461634+00:00
312405352,John W. Doubleday Ltd,Improvement Notice,23/03/2022,South Holland,MIXED FARMING,,,2022-05-05 16:15:35.461634+00:00
312417675,Jencol Engineering Limited,Improvement Notice,23/03/2022,Huntingdon,MACHINING,,,2022-05-05 16:15:35.461634+00:00
312417690,Jencol Engineering Limited,Improvement Notice,23/03/2022,Huntingdon,MACHINING,,,2022-05-05 16:15:35.461634+00:00
312420380,The Hand Wash Car People Frome,Prohibition Notice Immediate,23/03/2022,Mendip,OTHER PERSONAL SERVICE NEC,,,2022-05-05 16:15:36.299555+00:00
312420474,The Hand Wash Car People Frome,Prohibition Notice Immediate,23/03/2022,Mendip,OTHER PERSONAL SERVICE NEC,,,2022-05-05 16:15:36.299555+00:00
312420537,The Hand Wash Car People Frome,Prohibition Notice Immediate,23/03/2022,Mendip,OTHER PERSONAL SERVICE NEC,,,2022-05-05 16:15:36.299555+00:00
312467950,Northern Jack Specialists,Prohibition Notice Immediate,23/03/2022,Hyndburn,MF OF FLUID POWER EQUIPMENT,,,2022-05-05 16:15:36.299555+00:00
312369865,Control Fabrications Limited,Improvement Notice,22/03/2022,Gedling,MACHINING,,,2022-05-05 16:15:36.299555+00:00
312370254,St Andrews Road Garage Limited,Prohibition Notice Immediate,22/03/2022,Cornwall UA,MVR,,,2022-05-05 16:15:36.299555+00:00
312370260,Paul Simms,Improvement Notice,22/03/2022,Gloucester,OTHER BUILDING COMPLETION,,,2022-05-05 16:15:36.299555+00:00
312370271,St Andrews Road Garage Limited,Prohibition Notice Immediate,22/03/2022,Cornwall UA,MVR,,,2022-05-05 16:15:36.299555+00:00
312370683,SPS Brassware Limited,Prohibition Notice Immediate,22/03/2022,Wolverhampton,TREATMENT AND COATING METALS,,,2022-05-05 16:15:36.299555+00:00
312370888,Dalziel Ingredients Limited,Improvement Notice,22/03/2022,Gateshead,MF CONDIMENTS AND SEASONINGS,,,2022-05-05 16:15:36.299555+00:00
312371336,GFP Tools Limited,Improvement Notice,22/03/2022,Dudley,MF OF OTHER MACHINE TOOLS,,,2022-05-05 16:15:37.448218+00:00
312371795,Lincolnshire Field Products Limited,Improvement Notice,22/03/2022,South Holland,MIXED FARMING,,,2022-05-05 16:15:37.448218+00:00
312372131,Bootle Containers Ltd,Improvement Notice,22/03/2022,Sefton,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:37.448218+00:00
312372238,Bootle Containers Ltd,Improvement Notice,22/03/2022,Sefton,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:37.448218+00:00
312377621,Hardeep Singh Notta,Prohibition Notice Immediate,22/03/2022,Guildford,CONSTRUCTION DOMESTIC BLDGS,,,2022-05-05 16:15:37.448218+00:00
312377666,Delstron Systems Limited,Improvement Notice,22/03/2022,East Staffordshire,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:37.448218+00:00
312377706,Delstron Systems Limited,Improvement Notice,22/03/2022,East Staffordshire,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:37.448218+00:00
312377716,Delstron Systems Limited,Improvement Notice,22/03/2022,East Staffordshire,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:37.448218+00:00
312378049,William Fear,Prohibition Notice Immediate,22/03/2022,Herefordshire UA,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:37.448218+00:00
312378069,Matthew Fear,Prohibition Notice Immediate,22/03/2022,Herefordshire UA,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:37.448218+00:00
312378743,A L H Systems Limited,Improvement Notice,22/03/2022,Wiltshire UA,MF SPECIAL-PURPOSE M/C NEC,,,2022-05-05 16:15:38.303566+00:00
312378817,Morris & Co (Handlers) Limited,Prohibition Notice Immediate,22/03/2022,Doncaster,RECOVERY OF SORTED MATERIALS,,,2022-05-05 16:15:38.303566+00:00
312378862,Morris & Co (Handlers) Limited,Prohibition Notice Immediate,22/03/2022,Doncaster,RECOVERY OF SORTED MATERIALS,,,2022-05-05 16:15:38.303566+00:00
312381432,ZMC Elecon Limited,Improvement Notice,22/03/2022,East Staffordshire,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:38.303566+00:00
312381453,ZMC Elecon Limited,Improvement Notice,22/03/2022,East Staffordshire,MF FABRICATED METAL PROD NEC,,,2022-05-05 16:15:38.303566+00:00
